Entity,Day,COVID-19 doses (daily)
Africa,2021-12-13,1975616.4
Africa,2021-12-14,1991867.2
Africa,2021-12-15,1971390.4
Africa,2021-12-16,2499577.2
Africa,2021-12-17,2375728.8
Africa,2021-12-18,2310303.5
Africa,2021-12-19,2304207.8
Africa,2021-12-20,2504623.5
Africa,2021-12-21,2594226
Africa,2021-12-22,2571842.5
Africa,2021-12-23,2332474.8
Africa,2021-12-24,1907963.6
Africa,2021-12-25,1788615.9
Africa,2021-12-26,1735185.4
Africa,2021-12-27,1577021.8
Africa,2021-12-28,1632985.6
Africa,2021-12-29,1683568.4
Africa,2021-12-30,1643906.1
Africa,2021-12-31,2049102.1
Africa,2022-01-01,1742669.9
Africa,2022-01-02,1304246.8
Africa,2022-01-03,1579535.9
Africa,2022-01-04,1632041.6
Africa,2022-01-05,1356629.6
Africa,2022-01-06,1526592.6
Africa,2022-01-07,2226137.8
Africa,2022-01-08,1951363.1
Africa,2022-01-09,1844401.6
Africa,2022-01-10,1696075.8
Africa,2022-01-11,1441103.4
Africa,2022-01-12,1470003.6
Africa,2022-01-13,1729167.9
Africa,2022-01-14,1932787.2
Africa,2022-01-15,1741972.1
Africa,2022-01-16,2173694.2
Africa,2022-01-17,2344069.8
Africa,2022-01-18,1696240.1
Africa,2022-01-19,1616402
Africa,2022-01-20,1386730.4
Africa,2022-01-21,1393969
Africa,2022-01-22,1329036.5
Africa,2022-01-23,1253544.5
Africa,2022-01-24,1221036
Africa,2022-01-25,1340567.1
Africa,2022-01-26,1516401.5
Africa,2022-01-27,1428252.5
Africa,2022-01-28,1319016.6
Africa,2022-01-29,1260421.4
Africa,2022-01-30,1267762.8
Africa,2022-01-31,1475912
Africa,2022-02-01,1822192.9
Africa,2022-02-02,1764433.9
Africa,2022-02-03,1657407.9
Africa,2022-02-04,1645563.4
Africa,2022-02-05,1643713.8
Africa,2022-02-06,1578731.4
Africa,2022-02-07,1486865.6
Africa,2022-02-08,1316817.2
Africa,2022-02-09,1360686.2
Africa,2022-02-10,1424197.4
Africa,2022-02-11,1440940.5
Africa,2022-02-12,1428213.5
Africa,2022-02-13,1337487.9
Africa,2022-02-14,1408753.5
Africa,2022-02-15,1440367.2
Africa,2022-02-16,2484209.5
Africa,2022-02-17,2711011
Africa,2022-02-18,2785172
Africa,2022-02-19,3293839.2
Africa,2022-02-20,2653539
Africa,2022-02-21,3059944.5
Africa,2022-02-22,2940420.5
Africa,2022-02-23,2161329.5
Africa,2022-02-24,2139996
Africa,2022-02-25,1364651.5
Africa,2022-02-26,2006744.4
Africa,2022-02-27,1214332.8
Africa,2022-02-28,1383624.9
Africa,2022-03-01,1213603.6
Africa,2022-03-02,1797477.4
Africa,2022-03-03,1397557.6
Africa,2022-03-04,1505959.1
Africa,2022-03-05,1153200.6
Africa,2022-03-06,1114507
Africa,2022-03-07,1439560
Africa,2022-03-08,1406056.1
Africa,2022-03-09,1280406.4
Africa,2022-03-10,980245.94
Africa,2022-03-11,1086787.2
Africa,2022-03-12,806915.9
Africa,2022-03-13,808430.9
Africa,2022-03-14,868774.06
Africa,2022-03-15,950438.94
Africa,2022-03-16,970971.4
Africa,2022-03-17,941672.75
Africa,2022-03-18,906614.6
Africa,2022-03-19,963698.2
Africa,2022-03-20,889569.94
Africa,2022-03-21,792760.4
Africa,2022-03-22,851314.2
Africa,2022-03-23,939796.75
Africa,2022-03-24,1035303.75
Africa,2022-03-25,1027206.1
Africa,2022-03-26,962075.06
Africa,2022-03-27,858802.75
Africa,2022-03-28,987499.4
Africa,2022-03-29,1003884.1
Africa,2022-03-30,1557086.6
Africa,2022-03-31,1566518.6
Africa,2022-04-01,1125236.6
Africa,2022-04-02,1078481.2
Africa,2022-04-03,1046104.8
Africa,2022-04-04,1023150.8
Africa,2022-04-05,992037.56
Africa,2022-04-06,1014900.56
Africa,2022-04-07,1037436.06
Africa,2022-04-08,1005703.7
Africa,2022-04-09,1033365.6
Africa,2022-04-10,874258.5
Africa,2022-04-11,631023.6
Africa,2022-04-12,690380.06
Africa,2022-04-13,641941.1
Africa,2022-04-14,658971.1
Africa,2022-04-15,626002.94
Africa,2022-04-16,586816.25
Africa,2022-04-17,581595.5
Africa,2022-04-18,580695.5
Africa,2022-04-19,592323.06
Africa,2022-04-20,622324.4
Africa,2022-04-21,662802.9
Africa,2022-04-22,653142.9
Africa,2022-04-23,655836.1
Africa,2022-04-24,557722.9
Africa,2022-04-25,760982.56
Africa,2022-04-26,817510.25
Africa,2022-04-27,1376396.4
Africa,2022-04-28,1353116
Africa,2022-04-29,1394642
Africa,2022-04-30,1366495.5
Africa,2022-05-01,1258996.4
Africa,2022-05-02,710019.56
Africa,2022-05-03,716460.1
Africa,2022-05-04,801708.94
Africa,2022-05-05,831801.8
Africa,2022-05-06,836640.2
Africa,2022-05-07,851396.2
Africa,2022-05-08,803524.2
Africa,2022-05-09,600090.2
Africa,2022-05-10,752593.2
Africa,2022-05-11,724135.4
Africa,2022-05-12,767289.4
Africa,2022-05-13,730614.56
Africa,2022-05-14,796125.5
Africa,2022-05-15,814149.5
Africa,2022-05-16,1456982.4
Africa,2022-05-17,1472321.9
Africa,2022-05-18,1528782.9
Africa,2022-05-19,1479960.2
Africa,2022-05-20,1467642.9
Africa,2022-05-21,1516454.9
Africa,2022-05-22,1461716.9
Africa,2022-05-23,908366.1
Africa,2022-05-24,965159.25
Africa,2022-05-25,963155.25
Africa,2022-05-26,965646.25
Africa,2022-05-27,1126403.6
Africa,2022-05-28,910990.56
Africa,2022-05-29,878772.56
Africa,2022-05-30,870565.3
Africa,2022-05-31,794145.9
Africa,2022-06-01,972371.4
Africa,2022-06-02,988880.1
Africa,2022-06-03,1019815.6
Africa,2022-06-04,820166.94
Africa,2022-06-05,787992.94
Africa,2022-06-06,995426.6
Africa,2022-06-07,1025981.3
Africa,2022-06-08,1129833.4
Africa,2022-06-09,1043753.56
Africa,2022-06-10,1042864.56
Africa,2022-06-11,1045370.56
Africa,2022-06-12,1005353.56
Africa,2022-06-13,994734.75
Africa,2022-06-14,1025511.3
Africa,2022-06-15,1004790.1
Africa,2022-06-16,997021.06
Africa,2022-06-17,974206.7
Africa,2022-06-18,964444.7
Africa,2022-06-19,944345.7
Africa,2022-06-20,4158775.5
Africa,2022-06-21,4178162.5
Africa,2022-06-22,4184597.5
Africa,2022-06-23,4248979.5
Africa,2022-06-24,4176175.8
Africa,2022-06-25,4168017.8
Africa,2022-06-26,4148906.8
Africa,2022-06-27,1430807.5
Africa,2022-06-28,1822731.6
Africa,2022-06-29,1820809.9
Africa,2022-06-30,1483650.6
Africa,2022-07-01,1405809.4
Africa,2022-07-02,1403465.4
Africa,2022-07-03,1403073.4
Africa,2022-07-04,1272732.9
Africa,2022-07-05,1273324.9
Africa,2022-07-06,1212643.9
Africa,2022-07-07,1211618.9
Africa,2022-07-08,1269151
Africa,2022-07-09,1224036.2
Africa,2022-07-10,1204465.2
Africa,2022-07-11,1305753.8
Africa,2022-07-12,1324564.5
Africa,2022-07-13,1325881.5
Africa,2022-07-14,1322107.2
Africa,2022-07-15,1316711.2
Africa,2022-07-16,1315014.2
Africa,2022-07-17,1665945.8
Africa,2022-07-18,1389743.5
Africa,2022-07-19,1405275.9
Africa,2022-07-20,1140032.9
Africa,2022-07-21,1147652.9
Africa,2022-07-22,1143693.9
Africa,2022-07-23,1127835.9
Africa,2022-07-24,1122499.9
Africa,2022-07-25,997743.3
Africa,2022-07-26,1021219.1
Africa,2022-07-27,1039661.1
Africa,2022-07-28,965371.75
Africa,2022-07-29,963449.75
Africa,2022-07-30,963889.75
Africa,2022-07-31,952384.75
Africa,2022-08-01,932474.25
Africa,2022-08-02,938383.4
Africa,2022-08-03,943086.3
Africa,2022-08-04,940754.7
Africa,2022-08-05,940047.7
Africa,2022-08-06,937069.7
Africa,2022-08-07,930700
Africa,2022-08-08,809013.94
Africa,2022-08-09,810186.94
Africa,2022-08-10,798822.2
Africa,2022-08-11,811114.2
Africa,2022-08-12,810353.2
Africa,2022-08-13,763420.06
Africa,2022-08-14,755119.06
Africa,2022-08-15,742250.9
Africa,2022-08-16,874270.5
Africa,2022-08-17,880801.5
Africa,2022-08-18,874993.5
Africa,2022-08-19,878730.5
Africa,2022-08-20,879578.25
Africa,2022-08-21,864125.25
Africa,2022-08-22,884659.8
Africa,2022-08-23,895363.06
Africa,2022-08-24,896532.94
Africa,2022-08-25,899610.25
Africa,2022-08-26,896460.25
Africa,2022-08-27,893881.25
Africa,2022-08-28,881837.2
Africa,2022-08-29,788860.44
Africa,2022-08-30,806972.44
Africa,2022-08-31,796615.5
Africa,2022-09-01,797024.5
Africa,2022-09-02,797017.5
Africa,2022-09-03,795516.5
Africa,2022-09-04,788901.5
Africa,2022-09-05,655725.6
Africa,2022-09-06,663588.6
Africa,2022-09-07,664671.6
Africa,2022-09-08,664218.6
Africa,2022-09-09,664129.6
Africa,2022-09-10,663919.6
Africa,2022-09-11,655818.6
Africa,2022-09-12,645015.3
Africa,2022-09-13,679339.2
Africa,2022-09-14,683911.7
Africa,2022-09-15,683847.7
Africa,2022-09-16,683755.7
Africa,2022-09-17,678738.7
Africa,2022-09-18,678738.7
Africa,2022-09-19,974990.9
Africa,2022-09-20,988595.94
Africa,2022-09-21,989181.7
Africa,2022-09-22,988652.06
Africa,2022-09-23,992561.1
Africa,2022-09-24,994097.1
Africa,2022-09-25,985580.1
Africa,2022-09-26,1223795
Africa,2022-09-27,1238130.4
Africa,2022-09-28,1261453.8
Africa,2022-09-29,1302466.4
Africa,2022-09-30,1229157.8
Africa,2022-10-01,1224998
Africa,2022-10-02,1225233.5
Africa,2022-10-03,1269972.4
Africa,2022-10-04,1269450.4
Africa,2022-10-05,1272052.1
Africa,2022-10-06,1272356.6
Africa,2022-10-07,1271897.6
Africa,2022-10-08,1270957.6
Africa,2022-10-09,1266000.6
Africa,2022-10-10,935826.94
Africa,2022-10-11,942239.94
Africa,2022-10-12,921339.2
Africa,2022-10-13,922213.2
Africa,2022-10-14,922213.2
Africa,2022-10-15,1190481.9
Africa,2022-10-16,1184249.9
Africa,2022-10-17,1356128.4
Africa,2022-10-18,1086366.6
Africa,2022-10-19,1086986.2
Africa,2022-10-20,1087999.2
Africa,2022-10-21,1014083.1
Africa,2022-10-22,1009588.6
Africa,2022-10-23,1009588.6
Africa,2022-10-24,1190420
Africa,2022-10-25,1197692.8
Africa,2022-10-26,1192044.8
Africa,2022-10-27,1190883.8
Africa,2022-10-28,1159436.1
Africa,2022-10-29,1158494.1
Africa,2022-10-30,1153365.1
Africa,2022-10-31,916442.06
Africa,2022-11-01,916442.06
Africa,2022-11-02,919941.56
Africa,2022-11-03,921183.56
Africa,2022-11-04,910245.25
Africa,2022-11-05,908759.25
Africa,2022-11-06,902836.25
Africa,2022-11-07,645478.75
Africa,2022-11-08,652005.75
Africa,2022-11-09,653390.7
Africa,2022-11-10,655143.7
Africa,2022-11-11,655070.7
Africa,2022-11-12,653640.7
Africa,2022-11-13,647023.7
Africa,2022-11-14,822332.06
Africa,2022-11-15,830824.5
Africa,2022-11-16,841215.06
Africa,2022-11-17,841629.06
Africa,2022-11-18,841241.06
Africa,2022-11-19,839942.06
Africa,2022-11-20,833483.06
Africa,2022-11-21,1766185
